model,item_key,tv_argyle_describe,tv_ppa_describe,tv_ppa_uniform
qwen3-8b,RACESURV47c_W43,0.56,0.34,0.54
qwen3-8b,RACESURV47d_W43,0.6,0.18,0.33
qwen3-8b,RACESURV47e_W43,0.64,0.33,0.48
qwen3-8b,RACESURV47f_W43,0.64,0.38,0.48
qwen3-8b,RACESURV5a_W43,0.25,0.2,0.2
qwen3-8b,RACESURV5b_W43,0.65,0.36,0.56
qwen3-8b,RACESURV5c_W43,0.71,0.56,0.46
qwen3-8b,RACESURV5d_W43,0.51,0.18,0.17
qwen3-8b,RACESURV5e_W43,0.6,0.38,0.53
qwen3-8b,RACESURV5f_W43,0.4,0.15,0.2
qwen3-8b,RACESURV5g_W43,0.45,0.39,0.54
qwen3-8b,RACESURV5h_W43,0.52,0.37,0.27
qwen3-8b,RACESURV5i_W43,0.38,0.27,0.17
qwen3-8b,RACESURV5j_W43,0.4,0.2,0.15
qwen3-8b,RACESURV5k_W43,0.75,0.55,0.6
qwen3-8b,RACESURV5l_W43,0.58,0.2,0.3
qwen3-8b,RACESURV9_W43,0.7,0.13,0.16
qwen3-8b,RESTRICTWHO_W45,0.49,0.31,0.26
qwen3-8b,ROMRELDUR_W50,0.58,0.38,0.35
qwen3-8b,SMSHARE_W45,0.51,0.25,0.3
qwen3-8b,SOCIETY_GUNS_W92,0.51,0.2,0.38
qwen3-8b,SOCIETY_JBCLL_W92,0.52,0.3,0.39
qwen3-8b,SOCIETY_RELG_W92,0.4,0.29,0.29
qwen3-8b,SOCIETY_RHIST_W92,0.27,0.22,0.4
qwen3-8b,SOCIETY_SSM_W92,0.33,0.28,0.36
qwen3-8b,SOCIETY_TRANS_W92,0.3,0.2,0.35
qwen3-8b,SOCIETY_WHT_W92,0.2,0.17,0.25
qwen3-8b,TRACKCO1a_W49,0.53,0.33,0.41
qwen3-8b,TRACKCO1b_W49,0.32,0.2,0.3
qwen3-8b,TRACKGOV1a_W49,0.59,0.38,0.48
qwen3-8b,TRACKGOV1b_W49,0.54,0.3,0.43
qwen3-8b,USMILSIZ_W92,0.56,0.28,0.29
qwen3-8b,WORRY2a_W54,0.63,0.33,0.43
qwen3-8b,WORRY2b_W54,0.58,0.21,0.38
qwen3-8b,WORRY2c_W54,0.7,0.33,0.43
qwen3-8b,WORRY2d_W54,0.68,0.3,0.32
qwen3-8b,WORRY2e_W54,0.58,0.21,0.38
