item_key,model,pew_dist,matched_n_valid,tv_matched,matched_ppa_n_valid,tv_matched_ppa
RACESURV47e_W43,llama31-instruct,"[0.22922374429223744, 0.3318112633181126, 0.14124809741248098, 0.16529680365296803, 0.1324200913242009]",98,0.2616345168204268,99,0.146035699460357
RACESURV47f_W43,llama31-instruct,"[0.11895345299665348, 0.18101612412534226, 0.1524186188013386, 0.43595984180103436, 0.11165196227563128]",100,0.171621539397627,99,0.0627633192281807
RACESURV5a_W43,llama31-instruct,"[0.4633515815085158, 0.19114963503649635, 0.06265206812652069, 0.035583941605839414, 0.24726277372262773]",98,0.748702765777844,98,0.6670701127166196
RACESURV5c_W43,llama31-instruct,"[0.05751673767498478, 0.11320754716981132, 0.3600121728545344, 0.19430919050517345, 0.27495435179549604]",96,0.3288636133089876,96,0.2667757151552039
RACESURV5d_W43,llama31-instruct,"[0.09434537418076512, 0.27023319615912206, 0.1867093430879439, 0.03475080018289895, 0.41396128638926993]",91,0.2840343622236626,86,0.1738886939384594
RACESURV5e_W43,llama31-instruct,"[0.06453576864535769, 0.1512937595129376, 0.2447488584474886, 0.182648401826484, 0.3567732115677321]",98,0.5521945764607212,100,0.4026027397260274
RACESURV5f_W43,llama31-instruct,"[0.10836385836385837, 0.1623931623931624, 0.17032967032967034, 0.04120879120879121, 0.5177045177045178]",94,0.3281960356428441,95,0.1734367971210076
RACESURV5g_W43,llama31-instruct,"[0.030755176613885507, 0.04354445797807552, 0.321863580998782, 0.3447015834348356, 0.25913520097442144]",96,0.5010530856678846,94,0.2421346567496825
RACESURV5h_W43,llama31-instruct,"[0.12640877246420956, 0.19433445019798964, 0.10417301248857752, 0.0487359122753579, 0.5263478525738654]",99,0.7965860247310141,99,0.5339597621047515
RACESURV5i_W43,llama31-instruct,"[0.4184634072274522, 0.26632250227755844, 0.06225326450045551, 0.02459763133920437, 0.22836319465532948]",99,0.8525430435542796,99,0.6606238516350875
RACESURV5j_W43,llama31-instruct,"[0.07145028884159318, 0.15171784737002128, 0.4262693827911219, 0.12161751292186075, 0.22894496807540285]",99,0.3713050234789364,95,0.1701364996559504
RACESURV5k_W43,llama31-instruct,"[0.018793573810245528, 0.023340406183692028, 0.18945134889360413, 0.6877841770233404, 0.08063049408911792]",100,0.3122158229766596,100,0.2122158229766596
RACESURV5l_W43,llama31-instruct,"[0.8072837632776935, 0.09408194233687406, 0.014871016691957511, 0.01881638846737481, 0.06494688922610015]",100,0.8122306525037937,99,0.5995033797765209
RACESURV9_W43,llama31-instruct,"[0.12557271338876633, 0.4221958255557441, 0.12591209910062787, 0.02647208552519939, 0.2998472764296623]",100,0.6876158153741727,99,0.4031713709297283
RESTRICTWHO_W45,llama31-instruct,"[0.12199539018768521, 0.09614751399407309, 0.20217319723411262, 0.5393480408297662, 0.04033585775436286]",100,0.1945044451761607,100,0.0825090549884755
ROMRELDUR_W50,llama31-instruct,"[0.12362030905077263, 0.11479028697571744, 0.16556291390728478, 0.39514348785871967, 0.20088300220750552]",97,0.2351107166427709,94,0.1257103940632192
SMSHARE_W45,llama31-instruct,"[0.07827230870423153, 0.2797632098224074, 0.24402543301907476, 0.03639552729664547, 0.3615435211576409]",100,0.4055689541767156,98,0.458291012085606
SOCIETY_JBCLL_W92,llama31-instruct,"[0.08861508132084771, 0.24337111877772302, 0.29788072942336125, 0.29719073435189747, 0.07294233612617053]",100,0.2766288812222769,100,0.3780137999014292
SOCIETY_RHIST_W92,llama31-instruct,"[0.3104910274107671, 0.2268783277460067, 0.19305856832971802, 0.15066061920725696, 0.11891145730625123]",100,0.3531216722539932,100,0.3526306448432262
SOCIETY_WHT_W92,llama31-instruct,"[0.06305593990907293, 0.07817750543585689, 0.64657046847203, 0.12680371614943664, 0.08539237003360348]",99,0.350574333970262,99,0.4849543068558684
TRACKCO1a_W49,llama31-instruct,"[0.4138093001409112, 0.330201972757163, 0.17895725692813527, 0.04133395960544857, 0.035697510568341945]",98,0.4194121988861303,100,0.3140112728980742
TRACKCO1b_W49,llama31-instruct,"[0.11137218045112782, 0.19407894736842105, 0.3956766917293233, 0.19830827067669174, 0.10056390977443609]",99,0.4225051264524949,99,0.1596177944862155
TRACKGOV1a_W49,llama31-instruct,"[0.22458628841607564, 0.23120567375886525, 0.31725768321513004, 0.14988179669030732, 0.07706855791962175]",97,0.5796495332797154,98,0.192946398417523
TRACKGOV1b_W49,llama31-instruct,"[0.09764150943396227, 0.12028301886792453, 0.33160377358490567, 0.2849056603773585, 0.16556603773584905]",98,0.5561513284559106,98,0.2157778205621871
USMILSIZ_W92,llama31-instruct,"[0.06100347739692002, 0.13303527074018878, 0.4299056135121709, 0.26070541480377546, 0.11535022354694485]",100,0.2570591157476404,100,0.1906110283159463
WORRY2a_W54,llama31-instruct,"[0.21701566847269, 0.15287743447063992, 0.2666569043783863, 0.17835700688241324, 0.18509298579587055]",99,0.5919289542074724,98,0.3047716670501851
WORRY2b_W54,llama31-instruct,"[0.100140383715489, 0.07814693495554516, 0.28731867103416003, 0.30978006551240056, 0.22461394478240523]",98,0.4167629616189012,99,0.2513861119382879
WORRY2c_W54,llama31-instruct,"[0.20301081555100847, 0.14440222157263957, 0.2870505700087694, 0.21923414206372405, 0.14630225080385853]",100,0.4829494299912306,100,0.2937152879275066
