item,pipeline,chi2,p,cramers_v
NEWSPREFV2_W45,ppa,13.419247685541169,0.0038123485683618664,0.36632291336389494
PWMAN2_W49,baseline,57.49014191637142,3.282269982086353e-13,0.7582225393403405
PWMAN2_W49,ppa,41.95147384833048,4.108394173148869e-09,0.647699574249748
RACESURV47e_W43,baseline,80.32232584565499,3.180550987748713e-19,0.8962272359488691
RACESURV47e_W43,ppa,50.333433622288624,3.075976375243779e-10,0.7094605952573309
RACESURV5a_W43,baseline,34.333958724202624,3.503285988311416e-08,0.5859518642704589
RACESURV5a_W43,ppa,66.62406030087529,1.1700799553880393e-13,0.8162356295878984
RACESURV5c_W43,baseline,62.88855166321128,2.207621011435861e-14,0.7930230240239641
RACESURV5c_W43,ppa,62.9667619313866,2.122957866303316e-14,0.7935159855440002
RACESURV5d_W43,baseline,25.680362244866878,3.6704724234646165e-05,0.5067579525263207
RACESURV5d_W43,ppa,38.89989791629136,7.306118679519021e-08,0.6236978268063098
RACESURV5e_W43,baseline,2.5551467667404797,0.10993560474936595,0.15984826451170747
RACESURV5e_W43,ppa,25.462134764460345,2.9577923895417937e-06,0.5046001859339763
RACESURV5f_W43,baseline,0.05137546121152677,0.8206869225345835,0.0226661556536451
RACESURV5f_W43,ppa,3.4337188752841845,0.3294608506947596,0.18530296477078245
RACESURV5g_W43,baseline,4.1198157489141085,0.04238369418029563,0.20297329255136276
RACESURV5g_W43,ppa,13.60089186176143,0.0011132785918352651,0.3687938700922431
RACESURV5h_W43,baseline,81.26463700234193,9.398074542799927e-17,0.9014690066904237
RACESURV5h_W43,ppa,67.5041226113105,7.632144631703217e-14,0.8216089252881233
RACESURV5i_W43,baseline,20.384169564497434,0.0004193192606221681,0.451488311747906
RACESURV5i_W43,ppa,51.51274044716667,1.7441255115827057e-10,0.7177237661326722
RACESURV5j_W43,baseline,88.61001505105155,4.355940856864794e-19,0.9413289279048612
RACESURV5j_W43,ppa,76.70389719570048,1.562659328973963e-16,0.8758076112691673
RACESURV5l_W43,ppa,9.205548549810846,0.010023987835712438,0.30340646911051267
RACESURV9_W43,baseline,30.534705124869063,1.065104286307213e-06,0.5525821669658646
RACESURV9_W43,ppa,47.26410699508641,3.0538571880208363e-10,0.6874889598756216
RESTRICTWHO_W45,baseline,0.15730424721467484,0.6916506559236849,0.03966159946531088
RESTRICTWHO_W45,ppa,15.57122294827213,0.0013881945478896513,0.3946038893405909
ROMRELDUR_W50,baseline,7.7552364869017145,0.020700069039996234,0.2784822523411809
ROMRELDUR_W50,ppa,2.154266498528793,0.5410125261259171,0.146774197273526
SMSHARE_W45,ppa,0.0,1.0,0.0
SOCIETY_JBCLL_W92,baseline,20.98448263808207,0.00010606024495147959,0.45808822990862874
SOCIETY_JBCLL_W92,ppa,3.8031698813539925,0.2835176356238822,0.19501717568855295
SOCIETY_RHIST_W92,baseline,100.0,1.9287498479639183e-22,1.0
SOCIETY_RHIST_W92,ppa,87.81097273958194,3.840510430016057e-18,0.9370750916526484
SOCIETY_WHT_W92,baseline,100.0,1.5541594313896026e-21,1.0
SOCIETY_WHT_W92,ppa,96.14684040913549,6.498680806820613e-20,0.9805449526112278
TRACKCO1a_W49,baseline,24.684395050094928,4.363668195638823e-06,0.4968339264794115
TRACKCO1a_W49,ppa,14.226745627964403,0.000814144398481516,0.3771835843188885
TRACKCO1b_W49,baseline,1.2299460557657282,0.2674175291959586,0.11090293304352813
TRACKCO1b_W49,ppa,4.721871934986688,0.19333324584504294,0.2172986869492471
TRACKGOV1a_W49,baseline,10.42717528373266,0.001241745154174187,0.3229113699412373
TRACKGOV1a_W49,ppa,5.548130862656215,0.13578803305224024,0.23554470621638296
TRACKGOV1b_W49,baseline,1.1117687932676221,0.2916977751258193,0.10544044732775094
TRACKGOV1b_W49,ppa,7.357958137646262,0.06132266096330375,0.27125556469216006
USMILSIZ_W92,baseline,74.95446265938068,5.294747287091849e-17,0.8657624539062703
USMILSIZ_W92,ppa,77.0721082196492,7.261020588950235e-16,0.8779072173051614
WORRY2a_W54,baseline,13.335250695043621,0.003964947472535391,0.36517462528280387
WORRY2a_W54,ppa,17.390617195767152,0.0005873270695909693,0.4170205893690041
WORRY2b_W54,baseline,33.536087827312514,2.48223172478717e-07,0.5791035125719107
WORRY2b_W54,ppa,26.89589017370902,2.086592961884314e-05,0.5186124774213307
WORRY2c_W54,baseline,13.231689878365732,0.010197486590248332,0.36375389865080116
WORRY2c_W54,ppa,11.41626822253357,0.02226335390782618,0.3378796860205356
WORRY2d_W54,baseline,8.115199918478607,0.04368991161967388,0.2848718996053947
WORRY2d_W54,ppa,12.797990373326288,0.012306213503630741,0.3577427899109399
WORRY2e_W54,baseline,16.149424346145658,0.00031131285927287074,0.4018634637055931
WORRY2e_W54,ppa,17.45481294661623,0.0015766401836186507,0.41778957558340574
