item_key,baseline_tv,ppa_tv,describe_tv,vs_tv,domain,pew_entropy,entropy_bucket,source
RACESURV5i_W43,0.210616459155785,0.4031491041603401,0.28478590950501065,0.28478590950501065,VALUES,0.8190094817335123,LO_ENT,E13_50
RACESURV5j_W43,0.4583824870781392,0.43838248707813926,0.24788689571298267,0.24788689571298267,VALUES,0.8896722993243887,LO_ENT,E13_50
RACESURV5k_W43,0.3122158229766596,0.3122158229766596,0.28778417702334036,0.3377841770233404,VALUES,0.5828188558007118,LO_ENT,E13_50
RACESURV5l_W43,0.19271623672230653,0.14389984825493174,0.5572837632776935,0.5572837632776935,VALUES,0.44121712773699845,LO_ENT,E13_50
RACESURV9_W43,0.2601527235703377,0.35015272357033767,0.2720431019854064,0.17219582555574411,VALUES,0.8343350557460991,LO_ENT,E13_50
RESTRICTWHO_W45,0.8738524860059269,0.2545044451761607,0.3915212380638788,0.3915212380638788,VALUES,0.7875451858708926,LO_ENT,E13_50
ROMRELDUR_W50,0.36485651214128034,0.29397350993377486,0.19602649006622516,0.19602649006622516,FACTS,0.9282618859019042,HI_ENT,E13_50
SMSHARE_W45,0.9217276912957684,0.9017276912957684,0.30556895417671565,0.30556895417671565,FACTS,0.8626471659792566,LO_ENT,E13_50
SOCIETY_JBCLL_W92,0.5680137999014292,0.5580137999014293,0.24507146377525868,0.24507146377525868,VALUES,0.9139872519626028,HI_ENT,E13_50
SOCIETY_RHIST_W92,0.4526306448432261,0.36263064484322627,0.06957207651350818,0.12246105304673635,VALUES,0.9665425102977752,HI_ENT,E13_50
SOCIETY_WHT_W92,0.5619628385056336,0.52657046847203,0.3465704684720301,0.44657046847202997,VALUES,0.7005244145450759,LO_ENT,E13_50
TRACKCO1a_W49,0.48084077031470174,0.3608407703147017,0.19401127289807424,0.3440112728980742,FACTS,0.80126212627616,LO_ENT,E13_50
TRACKCO1b_W49,0.5643233082706767,0.41432330827067676,0.09624060150375942,0.09624060150375942,FACTS,0.9204048567229861,HI_ENT,E13_50
TRACKGOV1a_W49,0.48274231678486995,0.54274231678487,0.11725768321513003,0.0918439716312057,FACTS,0.9445690311076276,HI_ENT,E13_50
TRACKGOV1b_W49,0.6483962264150943,0.500754716981132,0.2320754716981132,0.18207547169811317,FACTS,0.934123624739413,HI_ENT,E13_50
USMILSIZ_W92,0.36625931445603577,0.2959612518628912,0.20596125186289121,0.20596125186289116,VALUES,0.8708028745789401,LO_ENT,E13_50
WORRY2a_W54,0.4933430956216137,0.21210865426856057,0.1521086542685606,0.1365500073217162,FACTS,0.9884538378277968,HI_ENT,E13_50
WORRY2b_W54,0.22268132896583998,0.12439401029480582,0.17171268132896583,0.07185306504445482,FACTS,0.9235803169795762,HI_ENT,E13_50
WORRY2c_W54,0.19741303712364805,0.08446360713241742,0.1092955276235019,0.13446360713241742,FACTS,0.9788044159722219,HI_ENT,E13_50
WORRY2d_W54,0.4011631309436723,0.19564740307242137,0.10259692757863938,0.23240673006583762,FACTS,0.9354684835175011,HI_ENT,E13_50
WORRY2e_W54,0.43523795447827374,0.2652379544782737,0.1312001182382501,0.25761158734850725,FACTS,0.9509684823716283,HI_ENT,E13_50
